cell_id,cycle,capacity,soh,voltage_mean,voltage_max,voltage_min,voltage_std,current_mean,current_max,current_min,current_std,temp_mean,temp_max,temp_min,temp_std,discharge_time,ambient_temperature,dataset,capacity_prev,capacity_delta,rolling_decay_rate,temp_rise,voltage_range
CS2_35,1,1.1162,1.0038,3.6534,4.2,2.7545,0.3801,-0.5475,0.0,-0.56,0.25,22.082,28.4579,20.9322,2.1303,7275.96,22.0,calce_cs2,1.1162,0.0,0.0,6.457899999999999,1.4455
CS2_35,2,1.1113,0.9993,3.6524,4.2,2.7471,0.3802,-0.5491,0.0,-0.56,0.25,21.9166,28.3717,21.0764,2.1095,7303.46,22.0,calce_cs2,1.1162,-0.0049000000000001265,0.0,6.371700000000001,1.4529
CS2_35,3,1.114,1.0018,3.6529,4.2,2.7515,0.3803,-0.5415,0.0,-0.56,0.25,21.8068,28.3437,20.9892,2.1195,7294.34,22.0,calce_cs2,1.1113,0.0027000000000001467,0.0,6.343699999999998,1.4485000000000001
CS2_35,4,1.1082,0.9966,3.6532,4.2,2.7504,0.3804,-0.5468,0.0,-0.56,0.25,22.0549,28.4488,20.9397,2.0528,7261.26,22.0,calce_cs2,1.114,-0.005800000000000027,0.0,6.4487999999999985,1.4496000000000002
CS2_35,5,1.1067,0.9953,3.6594,4.2,2.7512,0.3805,-0.54,0.0,-0.56,0.25,21.9,28.5588,20.9091,2.1,7259.44,22.0,calce_cs2,1.1082,-0.0015000000000000568,0.0,6.5588000000000015,1.4488000000000003
CS2_35,6,1.1058,0.9944,3.6474,4.2,2.7532,0.3806,-0.5392,0.0,-0.56,0.25,21.9498,28.4218,20.9723,2.1074,7230.45,22.0,calce_cs2,1.1067,-0.0009000000000001229,-0.0020800000000000375,6.421800000000001,1.4468
CS2_35,7,1.1063,0.9949,3.6533,4.2,2.7454,0.3807,-0.5407,0.0,-0.56,0.25,21.8909,28.6325,21.0309,2.2042,7235.58,22.0,calce_cs2,1.1058,0.000500000000000167,-0.0009999999999999788,6.6325,1.4546000000000001
CS2_35,8,1.1048,0.9935,3.6509,4.2,2.7552,0.3808,-0.5502,0.0,-0.56,0.25,22.2636,28.396,20.9407,2.1094,7220.24,22.0,calce_cs2,1.1063,-0.0015000000000000568,-0.0018400000000000194,6.396000000000001,1.4448000000000003
CS2_35,9,1.1007,0.9898,3.6553,4.2,2.7548,0.3809,-0.5607,0.0,-0.56,0.25,22.1537,28.7315,20.9163,2.1646,7182.47,22.0,calce_cs2,1.1048,-0.0040999999999999925,-0.0015000000000000124,6.7315000000000005,1.4452000000000003
CS2_35,10,1.1016,0.9907,3.645,4.2,2.7524,0.381,-0.548,0.0,-0.56,0.25,22.065,28.4302,21.1234,2.1333,7202.48,22.0,calce_cs2,1.1007,0.0008999999999999009,-0.0010200000000000209,6.430199999999999,1.4476
CS2_35,11,1.1006,0.9898,3.654,4.2,2.7532,0.3811,-0.5545,0.0,-0.56,0.25,21.9954,28.7186,20.8422,2.0567,7214.88,22.0,calce_cs2,1.1016,-0.0009999999999998899,-0.0010399999999999743,6.718599999999999,1.4468
CS2_35,12,1.0985,0.9878,3.6548,4.2,2.7444,0.3812,-0.5569,0.0,-0.56,0.25,21.8866,28.5764,20.9671,2.0614,7191.69,22.0,calce_cs2,1.1006,-0.0020999999999999908,-0.0015600000000000058,6.5764,1.4556
CS2_35,13,1.0985,0.9878,3.6463,4.2,2.7532,0.3813,-0.5482,0.0,-0.56,0.25,21.9203,28.7114,21.0129,2.1417,7204.73,22.0,calce_cs2,1.0985,0.0,-0.0012599999999999944,6.711400000000001,1.4468
CS2_35,14,1.0985,0.9879,3.6491,4.2,2.7465,0.3814,-0.5471,0.0,-0.56,0.25,21.8593,28.6835,21.0021,2.0161,7195.19,22.0,calce_cs2,1.0985,0.0,-0.00043999999999999595,6.683499999999999,1.4535
CS2_35,15,1.0974,0.9869,3.6567,4.2,2.751,0.3815,-0.5385,0.0,-0.56,0.25,22.1452,28.4582,21.0245,2.1122,7195.92,22.0,calce_cs2,1.0985,-0.001100000000000101,-0.0008399999999999963,6.4582000000000015,1.4490000000000003
CS2_35,16,1.0945,0.9843,3.6421,4.2,2.7471,0.3816,-0.5488,0.0,-0.56,0.25,22.0856,28.6427,21.054,2.0913,7175.89,22.0,calce_cs2,1.0974,-0.0028999999999999027,-0.0012199999999999989,6.642700000000001,1.4529
CS2_35,17,1.0961,0.9857,3.6407,4.2,2.7517,0.3817,-0.549,0.0,-0.56,0.25,21.9475,28.9341,20.9223,2.0239,7191.34,22.0,calce_cs2,1.0945,0.0016000000000000458,-0.00047999999999999156,6.934100000000001,1.4483000000000001
CS2_35,18,1.0971,0.9866,3.6452,4.2,2.7468,0.3818,-0.557,0.0,-0.56,0.25,22.0429,28.5984,21.001,2.1047,7199.65,22.0,calce_cs2,1.0961,0.0009999999999998899,-0.0002800000000000136,6.598400000000002,1.4532000000000003
CS2_35,19,1.0931,0.983,3.631,4.2,2.7481,0.3819,-0.5583,0.0,-0.56,0.25,21.7446,28.8395,21.0142,2.0687,7148.68,22.0,calce_cs2,1.0971,-0.0040000000000000036,-0.0010800000000000143,6.839500000000001,1.4519000000000002
CS2_35,20,1.0979,0.9874,3.6488,4.2,2.7545,0.382,-0.5483,0.0,-0.56,0.25,21.9494,28.5981,20.9244,2.2015,7170.86,22.0,calce_cs2,1.0931,0.0048000000000001375,0.0001000000000000334,6.598099999999999,1.4455
CS2_35,21,1.0911,0.9812,3.6318,4.2,2.7438,0.3821,-0.5482,0.0,-0.56,0.25,22.1239,28.5148,21.017,2.1412,7163.38,22.0,calce_cs2,1.0979,-0.006800000000000139,-0.0006800000000000139,6.514800000000001,1.4562000000000004
CS2_35,22,1.0928,0.9827,3.6338,4.2,2.746,0.3822,-0.5462,0.0,-0.56,0.25,21.992,28.6235,21.0551,2.1041,7146.66,22.0,calce_cs2,1.0911,0.0017000000000000348,-0.0006600000000000162,6.6235,1.4540000000000002
