cell_id,cycle,capacity,soh,voltage_mean,voltage_max,voltage_min,voltage_std,current_mean,current_max,current_min,current_std,temp_mean,temp_max,temp_min,temp_std,discharge_time,ambient_temperature,dataset,capacity_prev,capacity_delta,rolling_decay_rate,temp_rise,voltage_range
B0005,1,1.8501,0.9965,3.5184,4.2,2.7035,0.4202,-1.9648,0.0,-2.0112,0.65,24.4899,36.1486,23.8767,3.4624,3335.53,24.0,nasa_pcoe,1.8501,0.0,0.0,12.148600000000002,1.4965000000000002
B0005,2,1.8411,0.9917,3.5159,4.1999,2.7018,0.4204,-1.9991,0.0,-2.0186,0.65,24.4657,35.6629,23.8314,3.4274,3299.86,24.0,nasa_pcoe,1.8501,-0.009000000000000119,0.0,11.6629,1.4981000000000004
B0005,3,1.8414,0.9918,3.5162,4.1999,2.7012,0.4206,-1.9942,0.0,-2.0127,0.65,24.5916,35.668,23.8376,3.4519,3311.54,24.0,nasa_pcoe,1.8411,0.00029999999999996696,0.0,11.668,1.4987000000000004
B0005,4,1.83,0.9857,3.5257,4.1999,2.7011,0.4208,-1.9906,0.0,-2.0059,0.65,24.4169,35.9727,23.604,3.3937,3295.91,24.0,nasa_pcoe,1.8414,-0.011399999999999855,0.0,11.972700000000003,1.4988000000000006
B0005,5,1.829,0.9852,3.5164,4.1999,2.7009,0.421,-1.983,0.0,-2.0174,0.65,24.517,35.8716,23.9057,3.5275,3274.61,24.0,nasa_pcoe,1.83,-0.001000000000000112,0.0,11.8716,1.4990000000000006
B0005,6,1.823,0.9819,3.5127,4.1998,2.6984,0.4212,-1.9739,0.0,-2.0048,0.65,24.7897,35.8286,23.7691,3.5265,3291.14,24.0,nasa_pcoe,1.829,-0.006000000000000005,-0.005420000000000025,11.828600000000002,1.5013999999999998
B0005,7,1.8159,0.9781,3.5128,4.1998,2.6966,0.4214,-1.992,0.0,-2.0059,0.65,24.8784,36.0148,23.9004,3.5289,3262.23,24.0,nasa_pcoe,1.823,-0.007099999999999884,-0.005039999999999978,12.014800000000001,1.5031999999999996
B0005,8,1.8139,0.9771,3.5205,4.1998,2.7022,0.4216,-1.9644,0.0,-2.0231,0.65,24.8233,36.0793,23.7701,3.5073,3245.19,24.0,nasa_pcoe,1.8159,-0.0020000000000000018,-0.005499999999999972,12.079300000000003,1.4975999999999998
B0005,9,1.8078,0.9737,3.5137,4.1997,2.7101,0.4218,-1.9852,0.0,-2.014,0.65,24.6497,36.2777,23.8329,3.4576,3259.1,24.0,nasa_pcoe,1.8139,-0.006099999999999994,-0.0044399999999999995,12.277700000000003,1.4895999999999998
B0005,10,1.8044,0.9719,3.5159,4.1997,2.6995,0.422,-1.9833,0.0,-2.012,0.65,24.5305,36.1866,23.8261,3.5004,3245.52,24.0,nasa_pcoe,1.8078,-0.0034000000000000696,-0.004919999999999991,12.186599999999999,1.5002
