cell_id,cycle,capacity,soh,voltage_mean,voltage_max,voltage_min,voltage_std,current_mean,current_max,current_min,current_std,temp_mean,temp_max,temp_min,temp_std,discharge_time,ambient_temperature
CS2_38,1,1.0481,0.9982,3.6463,4.2,2.747,0.3801,-0.5454,0.0,-0.56,0.25,22.072,28.4095,21.1738,2.0898,6855.35,22.0
CS2_38,2,1.0481,0.9982,3.6552,4.2,2.7473,0.3802,-0.5577,0.0,-0.56,0.25,21.9681,28.6206,20.9892,2.1253,6850.53,22.0
CS2_38,3,1.0478,0.9979,3.644,4.2,2.755,0.3803,-0.5436,0.0,-0.56,0.25,21.8197,28.4478,20.9483,2.0675,6843.71,22.0
CS2_38,4,1.0463,0.9965,3.6558,4.2,2.7581,0.3804,-0.5508,0.0,-0.56,0.25,22.0547,28.7626,21.0934,2.0743,6845.28,22.0
CS2_38,5,1.0469,0.997,3.6507,4.2,2.7449,0.3805,-0.5537,0.0,-0.56,0.25,22.1384,28.4268,20.9429,2.0938,6847.78,22.0
CS2_38,6,1.0428,0.9931,3.6441,4.2,2.7489,0.3806,-0.5535,0.0,-0.56,0.25,22.0765,28.2049,21.0442,2.1454,6833.79,22.0
CS2_38,7,1.0393,0.9898,3.6431,4.2,2.7503,0.3807,-0.5452,0.0,-0.56,0.25,22.054,28.5377,20.957,2.1094,6807.23,22.0
CS2_38,8,1.0402,0.9907,3.644,4.2,2.7573,0.3808,-0.5542,0.0,-0.56,0.25,22.1474,28.7654,21.0573,2.0725,6820.81,22.0
CS2_38,9,1.0416,0.992,3.6442,4.2,2.7466,0.3809,-0.5549,0.0,-0.56,0.25,22.0761,28.5299,21.016,2.0958,6824.65,22.0
CS2_38,10,1.0396,0.9901,3.652,4.2,2.7449,0.381,-0.5482,0.0,-0.56,0.25,22.0138,28.4786,20.968,2.1105,6791.51,22.0
CS2_38,11,1.039,0.9896,3.6518,4.2,2.7496,0.3811,-0.5504,0.0,-0.56,0.25,21.862,28.4369,21.0185,2.0669,6813.82,22.0
CS2_38,12,1.04,0.9905,3.6359,4.2,2.7528,0.3812,-0.5509,0.0,-0.56,0.25,21.7796,28.7063,21.1109,2.1428,6815.36,22.0
CS2_38,13,1.0383,0.9889,3.6487,4.2,2.7512,0.3813,-0.5439,0.0,-0.56,0.25,22.1197,28.6251,21.0325,2.084,6796.2,22.0
CS2_38,14,1.045,0.9952,3.647,4.2,2.7404,0.3814,-0.5567,0.0,-0.56,0.25,22.1825,28.5639,20.982,2.0794,6827.87,22.0
CS2_38,15,1.0349,0.9856,3.6533,4.2,2.7541,0.3815,-0.5526,0.0,-0.56,0.25,22.2296,28.8185,20.9138,2.01,6764.79,22.0
CS2_38,16,1.0369,0.9875,3.6526,4.2,2.7544,0.3816,-0.5485,0.0,-0.56,0.25,22.1711,28.7689,20.943,2.0686,6789.87,22.0
CS2_38,17,1.0341,0.9849,3.6386,4.2,2.7519,0.3817,-0.5442,0.0,-0.56,0.25,22.0892,28.4911,21.0021,2.1337,6745.19,22.0
CS2_38,18,1.0344,0.9852,3.6546,4.2,2.7459,0.3818,-0.553,0.0,-0.56,0.25,21.8179,28.4239,21.129,2.0676,6754.73,22.0
CS2_38,19,1.0328,0.9836,3.6315,4.2,2.7524,0.3819,-0.5539,0.0,-0.56,0.25,21.9558,28.4169,20.9483,2.0566,6775.79,22.0
CS2_38,20,1.035,0.9857,3.6447,4.2,2.7538,0.382,-0.5472,0.0,-0.56,0.25,22.1004,28.7425,20.9946,2.1734,6788.65,22.0
CS2_38,21,1.0334,0.9842,3.6305,4.2,2.75,0.3821,-0.555,0.0,-0.56,0.25,22.0252,28.5384,21.036,2.0881,6776.67,22.0
CS2_38,22,1.03,0.981,3.6485,4.2,2.7494,0.3822,-0.5415,0.0,-0.56,0.25,22.0892,28.7912,21.0526,2.0192,6739.73,22.0
CS2_38,23,1.0309,0.9818,3.6358,4.2,2.7484,0.3823,-0.5508,0.0,-0.56,0.25,22.2841,28.8331,21.0677,2.0543,6741.22,22.0
CS2_38,24,1.0314,0.9823,3.6335,4.2,2.741,0.3824,-0.5471,0.0,-0.56,0.25,22.1964,28.7531,20.9672,2.0912,6746.37,22.0
