cell_id,cycle,capacity,soh,voltage_mean,voltage_max,voltage_min,voltage_std,current_mean,current_max,current_min,current_std,temp_mean,temp_max,temp_min,temp_std,discharge_time,ambient_temperature
B0007,1,1.8817,0.995,3.5257,4.2,2.7065,0.4202,-1.996,0.0,-2.0173,0.65,24.2677,36.2045,23.8088,3.4958,3392.55,24.0
B0007,2,1.8755,0.9918,3.5173,4.1999,2.6947,0.4204,-1.9739,0.0,-2.0148,0.65,24.6041,36.0776,23.7883,3.5661,3363.84,24.0
B0007,3,1.8698,0.9888,3.5184,4.1999,2.6998,0.4206,-1.9941,0.0,-2.0124,0.65,24.7553,35.7571,23.8025,3.4687,3367.64,24.0
B0007,4,1.8698,0.9887,3.5194,4.1999,2.7038,0.4208,-1.9717,0.0,-2.0079,0.65,24.6293,35.8281,23.4926,3.4684,3357.6,24.0
B0007,5,1.8621,0.9847,3.5068,4.1999,2.7052,0.421,-1.9986,0.0,-2.0079,0.65,24.5897,36.0501,23.887,3.6607,3365.49,24.0
B0007,6,1.863,0.9852,3.5219,4.1998,2.702,0.4212,-1.9791,0.0,-2.0124,0.65,24.6951,36.219,23.7981,3.4999,3347.1,24.0
B0007,7,1.8604,0.9838,3.5138,4.1998,2.7049,0.4214,-1.982,0.0,-2.0077,0.65,24.4021,36.0558,23.7383,3.6047,3356.56,24.0
B0007,8,1.8507,0.9786,3.5092,4.1998,2.6977,0.4216,-1.9744,0.0,-2.0135,0.65,24.9553,35.8516,23.7339,3.4191,3316.71,24.0
B0007,9,1.8487,0.9776,3.5079,4.1997,2.7085,0.4218,-1.9797,0.0,-2.0195,0.65,24.5953,36.0832,23.9231,3.4573,3324.34,24.0
B0007,10,1.839,0.9724,3.5172,4.1997,2.6917,0.422,-1.9778,0.0,-2.0103,0.65,24.7922,36.2471,23.9027,3.5006,3292.59,24.0
B0007,11,1.8373,0.9716,3.517,4.1997,2.7027,0.4222,-1.9696,0.0,-2.0108,0.65,24.4773,36.1962,23.7965,3.3349,3303.03,24.0
B0007,12,1.8368,0.9713,3.5031,4.1996,2.7064,0.4224,-1.9768,0.0,-2.0104,0.65,25.0216,36.4185,23.6915,3.3519,3319.57,24.0
B0007,13,1.8294,0.9673,3.5099,4.1996,2.7102,0.4226,-1.9583,0.0,-1.9954,0.65,24.7107,36.5968,23.8248,3.3132,3302.35,24.0
B0007,14,1.814,0.9592,3.5108,4.1996,2.7042,0.4228,-1.9814,0.0,-2.0139,0.65,24.9695,36.266,23.794,3.5006,3269.08,24.0
B0007,15,1.822,0.9634,3.5033,4.1996,2.7046,0.423,-1.988,0.0,-2.0025,0.65,24.5951,36.0989,23.8374,3.4124,3279.12,24.0
B0007,16,1.8223,0.9636,3.5042,4.1995,2.7068,0.4232,-1.9844,0.0,-2.017,0.65,25.1513,36.0477,23.6723,3.4379,3274.13,24.0
B0007,17,1.8144,0.9594,3.506,4.1995,2.7055,0.4234,-1.9933,0.0,-2.0066,0.65,24.9592,36.4798,23.8181,3.5162,3253.6,24.0
B0007,18,1.8188,0.9618,3.5011,4.1995,2.7082,0.4236,-2.001,0.0,-2.0084,0.65,24.9503,36.4658,23.7348,3.5869,3264.35,24.0
B0007,19,1.8101,0.9572,3.5096,4.1994,2.7021,0.4238,-1.9974,0.0,-2.0011,0.65,25.1935,36.3385,23.7047,3.5408,3250.92,24.0
B0007,20,1.8065,0.9553,3.5081,4.1994,2.6978,0.424,-1.9657,0.0,-2.0062,0.65,25.0259,36.5312,23.7492,3.4221,3268.79,24.0
B0007,21,1.8129,0.9587,3.5033,4.1994,2.7152,0.4242,-1.9835,0.0,-2.0125,0.65,25.1362,36.7102,23.6781,3.458,3250.34,24.0
B0007,22,1.8137,0.9591,3.5045,4.1993,2.7087,0.4244,-1.9855,0.0,-1.9984,0.65,25.0207,36.1666,23.8817,3.4684,3261.65,24.0
B0007,23,1.8073,0.9557,3.493,4.1993,2.7091,0.4246,-1.9843,0.0,-2.0191,0.65,25.0741,36.6576,23.6894,3.5402,3257.38,24.0
B0007,24,1.8045,0.9542,3.4948,4.1993,2.7123,0.4248,-1.9804,0.0,-2.0096,0.65,25.1116,36.6037,23.8832,3.4753,3224.77,24.0
B0007,25,1.7966,0.95,3.5037,4.1993,2.7038,0.425,-1.9902,0.0,-2.0055,0.65,25.1549,36.4547,23.7672,3.5455,3246.89,24.0
B0007,26,1.7884,0.9457,3.4946,4.1992,2.7025,0.4252,-1.992,0.0,-2.0113,0.65,24.8607,36.9924,23.7284,3.4944,3214.9,24.0
B0007,27,1.7856,0.9442,3.5087,4.1992,2.7133,0.4254,-1.9821,0.0,-2.018,0.65,25.133,37.0614,23.8737,3.41,3199.64,24.0
B0007,28,1.7782,0.9403,3.4919,4.1992,2.7133,0.4256,-1.9828,0.0,-2.0139,0.65,25.2248,36.6674,23.8499,3.4648,3199.8,24.0
B0007,29,1.7821,0.9423,3.4966,4.1991,2.7098,0.4258,-1.986,0.0,-2.0053,0.65,25.1774,37.0964,23.7524,3.5675,3216.14,24.0
B0007,30,1.7697,0.9358,3.4954,4.1991,2.7114,0.426,-1.9997,0.0,-2.013,0.65,25.0693,36.844,23.872,3.5452,3171.91,24.0
B0007,31,1.7735,0.9378,3.4855,4.1991,2.7068,0.4262,-1.9763,0.0,-2.0126,0.65,25.2747,36.5154,23.9028,3.4595,3195.81,24.0
B0007,32,1.7689,0.9354,3.4907,4.199,2.7092,0.4264,-1.9863,0.0,-2.0055,0.65,25.4462,37.0029,23.6394,3.5291,3190.92,24.0
B0007,33,1.7604,0.9309,3.4939,4.199,2.7131,0.4266,-1.9676,0.0,-2.0012,0.65,25.5103,36.9857,23.8605,3.5264,3178.16,24.0
B0007,34,1.7562,0.9287,3.4888,4.199,2.7091,0.4268,-1.9736,0.0,-2.0113,0.65,25.2506,36.8961,23.8421,3.4617,3177.98,24.0
B0007,35,1.7498,0.9253,3.4757,4.199,2.7187,0.427,-1.9607,0.0,-2.0049,0.65,25.4586,36.8917,23.8163,3.4124,3170.97,24.0
B0007,36,1.756,0.9285,3.4991,4.1989,2.7059,0.4272,-1.9921,0.0,-2.0121,0.65,25.492,37.3218,23.76,3.575,3154.11,24.0
B0007,37,1.7591,0.9302,3.4871,4.1989,2.7162,0.4274,-1.9911,0.0,-2.013,0.65,25.677,36.7968,23.8038,3.5315,3161.16,24.0
B0007,38,1.7472,0.9239,3.4789,4.1989,2.7115,0.4276,-1.9821,0.0,-2.0051,0.65,25.6924,37.2741,23.8408,3.6349,3141.8,24.0
B0007,39,1.7475,0.924,3.4871,4.1988,2.7066,0.4278,-1.9766,0.0,-2.0068,0.65,25.5321,37.389,23.9978,3.6418,3147.25,24.0
B0007,40,1.7503,0.9256,3.4825,4.1988,2.7062,0.428,-1.963,0.0,-2.0107,0.65,25.3165,37.1372,23.8066,3.5553,3155.39,24.0
B0007,41,1.7345,0.9172,3.4943,4.1988,2.7086,0.4282,-1.9866,0.0,-2.0141,0.65,25.5084,37.1477,23.763,3.5302,3126.37,24.0
B0007,42,1.7395,0.9198,3.4741,4.1988,2.7166,0.4284,-1.9776,0.0,-2.0065,0.65,25.6575,36.9641,23.9255,3.5783,3145.71,24.0
B0007,43,1.7395,0.9198,3.478,4.1987,2.7079,0.4286,-1.9948,0.0,-2.013,0.65,25.7813,37.2415,23.8168,3.4971,3151.1,24.0
B0007,44,1.7274,0.9134,3.4888,4.1987,2.7172,0.4288,-1.9789,0.0,-2.0055,0.65,25.6592,37.117,23.9568,3.6478,3119.76,24.0
B0007,45,1.7282,0.9139,3.4759,4.1987,2.7122,0.429,-2.0016,0.0,-2.0075,0.65,25.6059,37.4048,23.724,3.4949,3117.46,24.0
B0007,46,1.7202,0.9097,3.4874,4.1986,2.711,0.4292,-1.9904,0.0,-2.0136,0.65,25.7133,37.571,23.8149,3.4163,3078.9,24.0
B0007,47,1.7158,0.9073,3.4776,4.1986,2.7112,0.4294,-1.9762,0.0,-2.0136,0.65,25.7149,37.4795,23.8289,3.6237,3077.1,24.0
B0007,48,1.7063,0.9023,3.48,4.1986,2.7139,0.4296,-1.9872,0.0,-2.015,0.65,25.6531,37.3959,23.7934,3.2587,3067.68,24.0
B0007,49,1.7209,0.91,3.4807,4.1985,2.7114,0.4298,-1.9751,0.0,-2.0088,0.65,25.7828,37.4396,24.1276,3.5129,3097.56,24.0
B0007,50,1.7162,0.9075,3.4906,4.1985,2.7142,0.43,-1.9707,0.0,-2.0015,0.65,25.7711,37.4747,23.9617,3.4178,3099.51,24.0
B0007,51,1.7037,0.9009,3.4735,4.1985,2.7121,0.4302,-1.9808,0.0,-2.0053,0.65,25.7257,37.2182,23.858,3.5771,3070.61,24.0
B0007,52,1.7033,0.9007,3.4767,4.1985,2.7102,0.4304,-1.9943,0.0,-2.0017,0.65,25.7628,37.5682,23.8413,3.5166,3067.69,24.0
B0007,53,1.7024,0.9002,3.4705,4.1984,2.7157,0.4306,-1.9799,0.0,-2.0067,0.65,26.1298,37.9249,23.8481,3.4911,3064.78,24.0
B0007,54,1.7042,0.9012,3.4707,4.1984,2.7234,0.4308,-1.9876,0.0,-2.0131,0.65,26.1046,37.3991,23.8569,3.5286,3066.65,24.0
B0007,55,1.6976,0.8977,3.4673,4.1984,2.7161,0.431,-2.0009,0.0,-2.0144,0.65,25.6754,37.8929,23.872,3.5212,3061.23,24.0
