Dataset,Cell,Model,RMSE,MAE,MAPE (%),R2,Plausibility Score,Monotonicity Violations,Status
NASA,B0005,Physics-Only,0.0063,0.005,0.36,0.9555,100.0,0,PASS
NASA,B0005,AI-Only (LSTM),0.0857,0.0784,5.75,-7.122,47.4,10,FAIL
NASA,B0005,Hybrid PINN,0.0965,0.0917,6.71,-9.298,78.9,4,WARNING
NASA,B0006,Physics-Only,0.0072,0.0061,0.49,0.9759,100.0,0,PASS
NASA,B0006,AI-Only (LSTM),0.1795,0.1591,13.11,-13.8494,36.8,12,FAIL
NASA,B0006,Hybrid PINN,0.1652,0.1572,12.86,-11.5917,73.7,5,WARNING
CALCE,CS2_35,Physics-Only,0.1524,0.1407,24.73,-2.2636,100.0,0,PASS
CALCE,CS2_35,AI-Only (LSTM),0.1591,0.143,25.38,-2.5556,100.0,0,PASS
CALCE,CS2_35,Hybrid PINN,0.1528,0.1414,24.83,-2.2793,100.0,0,PASS
CALCE,CS2_36,Physics-Only,0.1547,0.1426,27.21,-2.172,100.0,0,PASS
CALCE,CS2_36,AI-Only (LSTM),0.1286,0.1158,22.31,-1.1932,100.0,0,PASS
CALCE,CS2_36,Hybrid PINN,0.1882,0.1726,33.01,-3.6932,100.0,0,PASS
